"","truth.exercise","truth.start","truth.end"
"1",1,51,215
"2",1,240,403
"3",1,428,567
"4",1,600,750
"5",1,775,945
"6",1,993,1165
"7",1,1220,1377
"8",1,1415,1571
"9",1,1605,1770
"10",1,1805,1990
"11",2,40,220
"12",2,245,410
"13",2,420,580
"14",2,600,760
"15",2,770,935
"16",2,960,1115
"17",2,1130,1310
"18",2,1330,1510
"19",2,1530,1710
"20",2,1725,1890
"21",3,40,240
"22",3,241,450
"23",3,455,630
"24",3,635,810
"25",3,815,1000
"26",3,1001,1160
"27",3,1175,1335
"28",3,1340,1520
"29",3,1535,1725
"30",3,1745,1935
"31",4,85,260
"32",4,290,460
"33",4,480,640
"34",4,670,830
"35",4,860,1020
"36",4,1050,1205
"37",4,1235,1400
"38",4,1435,1600
"39",4,1640,1810
"40",4,1830,2000
"41",5,60,210
"42",5,210,385
"43",5,385,550
"44",5,550,730
"45",5,730,925
"46",5,925,1090
"47",5,1090,1260
"48",5,1260,1425
"49",5,1425,1600
"50",5,1600,1765
"51",6,40,250
"52",6,260,440
"53",6,470,685
"54",6,720,920
"55",6,950,1190
"56",6,1210,1400
"57",6,1425,1645
"58",6,1670,1885
"59",6,1900,2100
"60",6,2140,2350
"61",7,50,250
"62",7,270,450
"63",7,480,670
"64",7,690,900
"65",7,920,1120
"66",7,1135,1325
"67",7,1325,1520
"68",7,1530,1735
"69",7,1760,1945
"70",7,1975,2150
"71",8,100,250
"72",8,250,415
"73",8,415,600
"74",8,615,770
"75",8,790,950
"76",8,950,1120
"77",8,1125,1275
"78",8,1280,1450
"79",8,1450,1605
"80",8,1605,1765
