time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-0.697377;-0.356795;9.744756;0.009198;-0.004617;0.013856;0.362958;0.248996;-0.5271
2;-0.692159;-0.398284;9.798077;0.00925;0.007776;0.017475;0.360714;0.247774;-0.526936
3;-0.687293;-0.330579;9.837309;0.017305;0.005965;0.013854;0.361142;0.246699;-0.526624
4;-0.682664;-0.376161;9.737465;0.026239;0.009581;0.022683;0.361199;0.246936;-0.525556
5;-0.741164;-0.424806;9.768485;0.002184;-0.017231;-0.012845;0.362207;0.247106;-0.526572
6;-0.702359;-0.363937;9.717954;0.005754;-0.0083;-0.003922;0.362489;0.247764;-0.526167
7;-0.655467;-0.337835;9.832609;0.024481;0.009513;0.015596;0.361926;0.246979;-0.526853
8;-0.687438;-0.354564;9.78372;0.031792;0.01293;0.003096;0.363226;0.246872;-0.527445
9;-0.755942;-0.349776;9.797907;0.031768;-0.004871;-0.009457;0.36271;0.246594;-0.527202
10;-0.687481;-0.373843;9.759323;0.003113;-0.011913;-0.012809;0.362902;0.246634;-0.528528
11;-0.621349;-0.378727;9.764568;0.006737;0.000514;-0.007428;0.362067;0.246312;-0.526832
12;-0.662897;-0.344976;9.805792;0.004131;0.007527;-0.012705;0.362298;0.246199;-0.527485
13;-0.682564;-0.388369;9.754426;0.013866;0.00409;-0.000365;0.362238;0.247558;-0.528316
14;-0.701863;-0.35006;9.854146;-0.004177;-0.008262;0.001501;0.363519;0.247259;-0.526901
15;-0.677462;-0.415212;9.788366;-0.012247;-0.007309;0.006901;0.362971;0.245802;-0.527439
16;-0.658072;-0.36422;9.774133;0.001415;0.004017;-0.010925;0.360693;0.247652;-0.527336
17;-0.68249;-0.366713;9.788557;0.015644;-0.000367;-0.003956;0.362553;0.247333;-0.525086
18;-0.689839;-0.386039;9.773838;0.012087;0.00763;0.000557;0.361157;0.247356;-0.526235
19;-0.706827;-0.37414;9.819974;0.00654;-0.007343;0.006748;0.362861;0.246984;-0.5268
20;-0.670196;-0.386115;9.788544;0.01395;0.003994;-0.011034;0.362593;0.24778;-0.526696
21;-0.672747;-0.383569;9.764231;0.003106;0.002337;-0.000283;0.36075;0.247224;-0.526389
22;-0.648173;-0.378855;9.791142;0.00207;-0.001087;0.012161;0.361744;0.247268;-0.52767
23;-0.680195;-0.366522;9.749679;-0.005881;-0.010076;-0.006499;0.360931;0.247668;-0.527858
24;-0.687385;-0.373963;9.783632;0.010377;0.007547;-0.009208;0.360961;0.248317;-0.5272
25;-0.691991;-0.417827;9.827158;0.008428;0.013034;0.013062;0.361023;0.246691;-0.526364
26;-0.692082;-0.39838;9.817523;0.008519;-0.001297;-0.009243;0.361225;0.247258;-0.527432
27;-0.709419;-0.37396;9.783497;0.022763;-0.001227;0.000421;0.360814;0.248191;-0.527473
28;-0.621439;-0.373781;9.745144;0.008263;-0.015237;0.01026;0.361235;0.247651;-0.527172
29;-0.594468;-0.332754;9.78439;-0.002177;0.016501;-0.000144;0.361492;0.246595;-0.527538
30;-0.643196;-0.398291;9.798377;0.0229;0.0209;0.003213;0.362003;0.247407;-0.527792
31;-0.755913;-0.395729;9.773389;0.015711;0.010238;-0.002138;0.362558;0.248197;-0.527241
32;-0.679474;-0.403676;9.907517;0.002911;-0.03135;-0.009353;0.360983;0.248306;-0.526798
33;-0.672942;-0.378491;9.718067;0.015817;0.034206;0.006895;0.361222;0.246861;-0.527559
34;-0.638353;-0.364391;9.808285;0.020249;0.018192;-0.003887;0.36138;0.24738;-0.527025
35;-0.71403;-0.352567;9.871077;0.016344;-0.018908;0.000385;0.360839;0.247248;-0.527187
36;-0.676556;-0.418766;10.016853;0.020386;0.026866;-0.017188;0.359473;0.24792;-0.527678
37;-1.223795;-0.531284;10.226895;0.070492;-0.033902;-0.068705;0.359231;0.246311;-0.527527
38;-1.087917;-0.145529;10.185737;-0.082784;-0.061109;-0.076404;0.358584;0.247694;-0.529328
39;-0.984816;0.168925;9.85235;-0.220036;-0.220739;-0.070736;0.354766;0.252628;-0.530039
40;-0.689926;-0.034859;9.371923;-0.130373;-0.312373;-0.143096;0.346746;0.258833;-0.534221
41;-0.128878;-0.432464;9.830546;-0.121072;-0.244208;-0.130317;0.339546;0.26344;-0.538326
42;0.120825;-0.584743;9.724426;-0.093501;-0.227918;-0.08954;0.33177;0.269058;-0.540612
43;0.136314;-0.766998;9.801476;-0.126269;-0.116092;-0.037123;0.327216;0.27203;-0.542931
44;0.192497;-1.044766;9.576915;-0.095187;-0.119302;0.000802;0.325193;0.274419;-0.542958
45;0.289344;-1.261582;9.775846;-0.109864;-0.122526;0.037353;0.325338;0.276078;-0.544853
46;0.264166;-1.081871;9.723035;-0.141622;-0.058877;0.033528;0.322397;0.278187;-0.544659
47;0.041029;-1.105557;9.614601;-0.037314;-0.101299;0.051964;0.322255;0.279716;-0.542156
48;0.200628;-1.067504;9.761604;-0.084044;-0.134024;0.040649;0.321299;0.281581;-0.542246
49;-0.235932;-0.839279;9.716213;-0.15508;-0.207602;0.215089;0.317927;0.283039;-0.542732
50;0.268678;-0.834892;9.797115;-0.11064;-0.133376;0.209865;0.317562;0.285214;-0.544131
51;0.382415;-1.375231;9.707835;0.000183;-0.00504;0.14644;0.317658;0.281843;-0.542992
52;0.155562;-0.976826;9.569706;0.018042;-0.072703;0.091709;0.315854;0.279742;-0.544658
53;0.376672;-0.690255;9.968597;-0.067734;0.057928;0.061188;0.313443;0.278934;-0.545047
54;0.511978;-0.912777;9.358272;0.075109;-0.285996;-0.051222;0.311926;0.277755;-0.54618
55;-0.163881;-0.494377;9.60155;-0.157612;-0.059093;0.111922;0.31103;0.279589;-0.545196
56;-0.144568;-1.155096;10.320608;-0.149066;-0.09898;0.016424;0.310068;0.281988;-0.545297
57;-0.180687;-1.104443;9.885499;-0.127968;-0.068193;-0.004938;0.308813;0.286791;-0.545459
58;-0.251051;-0.814571;9.623861;-0.111308;-0.013514;-0.020766;0.307065;0.289178;-0.545337
59;0.06807;-1.139534;9.619473;-0.007309;-0.03593;-0.048415;0.305904;0.290079;-0.544484
60;0.244437;-1.313686;9.524958;0.016111;-0.015529;-0.041386;0.306412;0.291159;-0.544743
61;0.546174;-1.319339;9.679925;-0.018574;-0.055755;-0.002139;0.303101;0.292523;-0.546561
62;0.562215;-1.0908;9.559526;-0.072757;-0.041845;-0.040712;0.300653;0.292265;-0.547497
